record_id,start,end,collection_confirmed___1,internal_check,overlap_check,team_id,redcap_data_access_group,country_code,country,hospital_code,city,hospital,city_new,hospital_new,info_team,orcid_1,email_1_reg,firstname_1_reg,lastname_1_reg,orcid_2,email_2_reg,firstname_2_reg,lastname_2_reg,orcid_3,email_3_reg,firstname_3_reg,lastname_3_reg,registration_complete
1,01/04/2018,28/04/2018,Checked,No,Overlap detected,"""01""",ir_grey_gen,1,Ironvale,10001,Greytown,General Hospital,,,3,0000-0000-0000-0001,mallory.hughson@mail.com,Mallory,Hughson,0000-0000-0000-0011,mahmoud.salant@mail.com,Mahmoud,Salant,0000-0000-0000-0019,sorcha.ownsby@mail.com,Sorcha,Ownsby,2
2,01/04/2018,28/04/2019,Unchecked,,No overlap,,lo_bright_gen,2,Lochland,20001,Brightlake,General Hospital,,,3,0000-0000-0000-0002,lindi.benedetti@mail.com,Lindi,Benedetti,0000-0000-0000-0012,farra.tranmer@mail.com,Farra,Tranmer,,,,,1
3,01/05/2018,28/05/2019,Checked,No,No overlap,"""01""",or_wheat_main,2,Orville,30001,Wheatbarrow,Main Hospital,,,2,0000-0000-0000-0003,gan.jonas@mail.com,Gan,Jonas,0000-0000-0000-0013,leighton.chinkham@mail.com,Leighton,Chinkham,,,,,2
4,01/04/2018,28/04/2019,Unchecked,,No overlap,"""01""",wi_fall_city,4,Wilarith,40001,Fallbeach,City Hospital,,,1,0000-0000-0000-0004,linn.xia@mail.com,Linn,Xia,,,,,,,,,2
5,01/08/2018,28/08/2019,Checked,Yes,Overlap detected,"""02""",ir_grey_gen,1,Ironvale,10001,Greytown,General Hospital,,,3,0000-0000-0000-0005,erv.spiridigliozzi@mail.com,Erv,Spiridigliozzi,0000-0000-0000-0014,rochella.stilgoe@mail.com,Rochella,Stilgoe,0000-0000-0000-0021,kata.enis@mail.com,Kata,Enis,2
6,01/04/2018,,Unchecked,,No overlap,"""01""",ir_grey_canc,1,Ironvale,10002,Greytown,Cancer Hospital,,,3,0000-0000-0000-0006,colene.kurosaka@mail.com,Colene,Kurosaka,0000-0000-0000-0015,englebert.vogt@mail.com,Englebert,Vogt,0000-0000-0000-0022,frants.moro@mail.com,Frants,Moro,2
7,01/06/2018,28/07/2019,Checked,,No overlap,"""01""",lo_highsh_roy,2,Lochland,20002,Highshore,Royal Infirmary,,,3,0000-0000-0000-0007,ashton.pavlon@mail.com,Ashton,Pavlon,0000-0000-0000-0016,milton.wodarczak@mail.com,Milton,Wodarczak,0000-0000-0000-0023,emera.tomich@mail.com,Emera,Tomich,2
8,01/04/2018,28/04/2019,Unchecked,,No overlap,"""02""",lo_highsh_roy,2,Lochland,20002,Highshore,Royal Infirmary,,,2,0000-0000-0000-0008,merwyn.ferraro@mail.com,Merwyn,Ferraro,0000-0000-0000-0017,gusella.beaulieu@mail.com,Gusella,Beaulieu,,,,,2
9,01/07/2018,28/07/2019,Checked,No,No overlap,"""02""",or_wheat_main,3,Orville,30001,Wheatbarrow,Main Hospital,,,2,0000-0000-0000-0009,rosette.metting@mail.com,Rosette,Metting,0000-0000-0000-0018,denys.brickhouse@mail.com,Denys,Brickhouse,,,,,2
10,01/04/2018,28/04/2019,Unchecked,,No overlap,"""01""",ir_stone_gen,1,Ironvale,10003,Stonemount,General Hospital,,,1,0000-0000-0000-0010,jodee.kollmann@mail.com,Jodee,Kollmann,,,,,,,,,2
